,KADAST,KV,NOG,SUG,MAJOR,FORMULA,PLAT,IERIK,atj_gads,KOPTS,OWNE,STAT
0,44980020033.0,,,,,,7.13,,,,Sodra,1
1,44980020034.0,,LZ,,,,1.07,,,,Sodra,1
2,76580040095.0,1.0,4,,,,0.17,,2019.0,,Sodra,2
3,76580040095.0,1.0,11,,,,0.9,,2019.0,,Sodra,2
4,44980020146.0,,LZ,,,,0.52,,,,Sodra,1
5,76420110076.0,6.0,1,Priede,,,1.18,2020,2022.0,01.01.2023.,Sodra,0
6,76420110076.0,6.0,7,Priede,,,0.24,2020,2022.0,01.01.2023.,Sodra,0
7,76420060116.0,1.0,1,Egle,,,0.2,2020,2022.0,01.01.2023.,Sodra,0
8,76420060116.0,1.0,11,Egle,,,3.33,2020,2022.0,01.01.2023.,Sodra,0
9,76420060116.0,1.0,14,Egle,,,0.24,2020,0.0,01.01.2023.,Sodra,0
10,76420060116.0,1.0,20,Egle,,,0.8,2020,2022.0,01.01.2023.,Sodra,0
11,76420060116.0,1.0,6,Egle,,,0.23,2020,2022.0,01.01.2023.,Sodra,0
12,60420070140.0,1.0,29,Egle,,,1.75,2020,2022.0,01.01.2023.,Sodra,0
13,60420030102.0,1.0,3,Egle,,,0.19,2020,,01.01.2023.,Sodra,0
14,60420030102.0,1.0,6,Egle,,,0.56,2020,2022.0,01.01.2023.,Sodra,0
15,60420030102.0,1.0,8,Egle,,,0.74,2020,,01.01.2023.,Sodra,0
16,60420030102.0,1.0,11,Egle,,,0.14,2020,2022.0,01.01.2023.,Sodra,0
17,60420030102.0,1.0,12,Egle,,,,2020,,01.01.2023.,Sodra,2
18,60420030102.0,1.0,13,Egle,,,0.35,2020,2022.0,01.01.2023.,Sodra,0
19,60460060027.0,1.0,7,Egle,,,1.42,2020,2022.0,01.01.2023.,Sodra,0
20,60460060027.0,1.0,3,Egle,,,1.1,2020,0.0,01.01.2023.,Sodra,0
21,60460060027.0,1.0,9,Egle,,,,2020,,01.01.2023.,Sodra,2
22,60460060027.0,1.0,10,Egle,,,,2020,,01.01.2023.,Sodra,2
23,60460060027.0,1.0,12,Egle,,,,2020,,01.01.2023.,Sodra,2
24,60460060027.0,1.0,13,Egle,,,,2020,,01.01.2023.,Sodra,2
25,44460020389.0,2.0,2,Egle,,,0.14,2020,0.0,01.01.2023.,Sodra,0
26,44460020389.0,2.0,3,Egle,,,0.41,2020,0.0,01.01.2023.,Sodra,0
27,44460020389.0,2.0,5,Egle,,,0.44,2020,0.0,01.01.2023.,Sodra,0
28,44460020389.0,2.0,6,Egle,,,0.31,2020,0.0,01.01.2023.,Sodra,0
29,44460020389.0,2.0,7,Egle,,,0.33,2020,0.0,01.01.2023.,Sodra,0
30,44460020389.0,2.0,9,Egle,,,0.71,2020,0.0,01.01.2023.,Sodra,0
